,公司,年月,TSE新產業名,TEJ子產業名,實收資本額(元),實收資本額(NTD),本期匯出金額(NTD),期末帳面值(NTD),累計台灣匯出總額(NTD),經濟部核准金額(NTD),  現金及約當現金,  不動產廠房及設備,  其他應付款,  當期所得稅負債,  應計退休金負債,  股本,    法定盈餘公積,    未分配盈餘,  保留盈餘,母公司股東權益合計,股東權益總額,營業收入淨額,營業費用,稅前淨利,所得稅費用,繼續營業單位損益,合併總損益,本期綜合損益總額,歸屬母公司淨利（損）,綜合損益歸屬母公司,加權平均股數,稀釋稅後淨利,加權平均股數－稀釋,稅前息前淨利,稅前息前折舊前淨利,常續性稅後淨利,期末普通股－現金股利,  稅前淨利－CFO,  折舊－CFO,  攤提－CFO,來自營運之現金流量,期初現金及約當現金,期末現金及約當現金,期末累計匯出金額(NTD)
3182,3504,2017-12-29,M2326 光電業,M23CZ1 光學投影,1140597850,761070.0,0.0,1807563.0,198401.0,233101,1538310.0,1933169,492253.0,9882.0,0.0,1140598,421812.0,178030.0,682528.0,3369495,3376894,4455012.0,948535.0,-133906.0,14285.0,-148191.0,-148191.0,-207319.0,-149021.0,-208189.0,114060.0,-149021.0,114060.0,-122771.0,108084.0,-147699.0,0.0,-133906.0,221694.0,9161.0,-10394.0,1962705.0,1538310.0,198401.0
3183,3504,2016-12-30,M2326 光電業,M23CZ1 光學投影,1140597850,761070.0,0.0,2010482.0,198401.0,233101,1962705.0,2017590,428699.0,5526.0,7250.0,1140598,421812.0,318460.0,822958.0,3577684,3584213,4115786.0,1056277.0,-164871.0,37422.0,-202293.0,-202293.0,-379531.0,-198693.0,-375926.0,114060.0,-198693.0,114060.0,-156321.0,78405.0,-198328.0,0.0,-164871.0,224803.0,9923.0,52240.0,1754524.0,1962705.0,198401.0
3184,3504,2015-12-31,M2326 光電業,M23CZ1 光學投影,1140597850,761070.0,0.0,2059900.0,198401.0,233101,1754524.0,2112411,468772.0,17942.0,10056.0,1140598,408946.0,593793.0,1085425.0,4016398,4016423,4460489.0,1127849.0,174343.0,45876.0,128467.0,128467.0,94434.0,128665.0,94627.0,114060.0,128665.0,114060.0,180091.0,434553.0,122756.0,63873.0,174343.0,242803.0,11659.0,359614.0,1847927.0,1754524.0,198401.0
3185,3504,2014-12-31,M2326 光電業,M23CZ1 光學投影,1140597850,761070.0,0.0,2184332.0,198401.0,233101,1847927.0,2296798,534501.0,18170.0,21996.0,1140598,389674.0,645660.0,1118020.0,4090579,4090579,5005603.0,1137654.0,280026.0,87308.0,192718.0,192718.0,329736.0,192718.0,329736.0,114060.0,192718.0,114927.0,290550.0,549802.0,200792.0,168808.0,280026.0,246013.0,13239.0,180613.0,1792123.0,1847927.0,198401.0
3186,3504,2013-12-31,M2326 光電業,M23CZ1 光學投影,1140597850,761070.0,0.0,2113956.0,198401.0,233101,1792123.0,2368097,562419.0,22267.0,37411.0,1140598,365780.0,695021.0,1143487.0,3975275,3975275,5258941.0,1071592.0,350802.0,111864.0,238938.0,238938.0,354849.0,238938.0,354849.0,114060.0,238938.0,115079.0,357247.0,605489.0,234197.0,214432.0,350802.0,235085.0,13157.0,1139773.0,1074010.0,1792123.0,198401.0
3187,3504,2012-12-28,M2326 光電業,M23CZ1 光學投影,1140597850,761070.0,0.0,1742595.0,198401.0,233101,1074010.0,2382824,549859.0,36311.0,43436.0,1140598,322381.0,735824.0,1140891.0,3859952,3859952,6780957.0,1230383.0,574447.0,141856.0,432591.0,432591.0,354718.0,432591.0,354718.0,114060.0,,,579387.0,802415.0,433308.0,239526.0,574447.0,207393.0,15635.0,604144.0,1009611.0,1074010.0,198401.0
3188,3518,2018-12-28,M2331 其他電子業,M23H2 電機設備,807522300,2159012.0,0.0,1817474.0,512771.0,2006072,539130.0,683627,116595.0,10600.0,2073.0,807522,0.0,-489793.0,-429414.0,1660661,1660668,576456.0,297287.0,-299158.0,39150.0,-338308.0,-338308.0,-366332.0,-338307.0,-366331.0,79142.0,-338307.0,79142.0,-285914.0,-100134.0,-309676.0,0.0,-299158.0,185023.0,757.0,-20005.0,518188.0,539130.0,458445.0
3189,3518,2017-12-29,M2331 其他電子業,M23H2 電機設備,807522300,2159012.0,0.0,2244020.0,512771.0,2006072,518188.0,873738,148212.0,3553.0,1914.0,807522,92118.0,-243484.0,-90987.0,2026992,2027000,663925.0,225713.0,-201947.0,41170.0,-243117.0,-243117.0,-269315.0,-243115.0,-269313.0,78704.0,-243115.0,78704.0,-192461.0,184.0,-228919.0,0.0,-201947.0,191504.0,1141.0,52296.0,690074.0,518188.0,458445.0
3190,3518,2016-12-30,M2331 其他電子業,M23H2 電機設備,807522300,2007712.0,0.0,2538047.0,512771.0,2006072,690074.0,1035589,145706.0,4140.0,1393.0,807072,365001.0,-272883.0,152497.0,2349093,2349093,841754.0,423502.0,-361785.0,54333.0,-416118.0,-416118.0,-598662.0,-416118.0,-598662.0,81707.0,-416118.0,81707.0,-352229.0,-117335.0,-317297.0,0.0,-361785.0,233833.0,1061.0,126119.0,781877.0,690074.0,458445.0
3191,3518,2015-12-31,M2331 其他電子業,M23H2 電機設備,807522300,2007712.0,0.0,3271481.0,512771.0,2006072,781877.0,1331305,219108.0,4506.0,1894.0,867072,365001.0,142874.0,568254.0,3178051,3178051,1181782.0,431899.0,-135834.0,33628.0,-169462.0,-169462.0,-238114.0,-169462.0,-238114.0,85537.0,-169462.0,85537.0,-127589.0,102241.0,-176868.0,0.0,-135834.0,227944.0,1886.0,241397.0,1107389.0,781877.0,458445.0
