"","Estimate","Std. Error","t-value","Pr(>|t|)"
"Cash",-0.0270497854432977,0.00530665569155159,-5.09733191968005,3.64374478402057e-07
"PPnE",-0.162349701630908,0.00677083826699599,-23.9777846152775,4.98077894026418e-117
"Stock",0.182161231418439,0.00933220301799441,19.519638724875,2.77600719883042e-80
"RetainedEarnings",0.144998927271547,0.00390495139434929,37.1320696798862,1.77920645294409e-251
